,village_name,school,hospital,park,retail
278,金村村村民委员会,1,2,0,0
279,季宅村委会,956,92,35,942
280,莲塘村委会,108,23,2,262
281,畈东村委会,839,60,33,768
282,青溪村委会,452,57,18,740
283,柳一村委会,479,51,19,620
284,柳二村委会,351,47,12,562
285,柳三村委会,66,18,3,145
286,新后傅村委会,445,58,18,739
287,下畈村委会,94,32,4,228
288,全备村委会,29,16,3,83
289,后余村委会,26,10,5,34
290,上周村委会,151,52,5,475
291,大傅宅村委会,92,29,4,243
292,上金村委会,162,29,13,258
293,鹤田村委会,13,17,1,57
294,前傅村委会,43,19,3,110
295,俊塘村委会,54,19,2,122
296,广口村委会,43,20,2,78
297,湖门村委会,219,22,20,161
298,新华村委会,17,18,1,65
299,前毛店村委会,159,43,6,447
300,后毛店村委会,114,41,5,338
301,西关田村委会,35,21,2,99
302,下余山村委会,40,20,2,76
303,七一村委会,152,35,3,358
304,枫溪村委会,77,18,4,219
305,五星村委会,13,6,2,8
306,西俞村委会,264,28,9,403
307,殿口村委会,317,51,11,548
308,益公山村委会,162,46,4,373
309,夏迹塘村委会,98,15,4,208
310,塘下郑村委会,348,50,11,618
311,夏演村委会,104,36,4,218
312,流下村委会,95,31,2,182
313,溪干村委会,84,25,1,185
314,桥头村委会,92,28,3,185
315,上杨村委会,19,6,1,28
316,流大塘村委会,116,38,2,291
317,何泮山村委会,293,51,11,543
318,龙山村村民委员会,24,7,2,33
319,深塘村委会,43,23,2,90
320,埠头村委会,136,21,2,387
321,何宅村委会,519,62,21,708
322,后义村委会,253,28,9,715
323,王店村委会,170,39,4,239
324,葛塘村委会,126,19,4,281
325,张思村委会,29,11,0,34
326,陈陀村委会,165,28,8,407
327,派塘村委会,3,1,0,0
328,华溪村委会,2,3,0,2
329,西京村委会,109,15,2,284
330,李塘村委会,50,12,4,174
331,泉塘村委会,87,15,3,183
332,大岭村委会,1,0,0,0
333,下朱宅村委会,251,29,8,691
334,石柱下村委会,96,11,3,72
335,祖科塘村委会,158,53,5,492
336,尚经村委会,184,35,7,429
337,全宅村委会,30,11,0,33
338,清塘村委会,3,3,1,4
339,九如堂村委会,425,47,16,751
340,下娄店村委会,193,25,8,468
341,东岗山村委会,318,46,13,574
342,楼西塘村委会,565,52,21,850
343,前店村委会,52,21,4,116
344,荷叶塘村委会,140,46,3,421
345,下西陶村委会,108,36,3,363
346,大田村委会,3,2,2,2
347,起鸣村委会,66,19,1,106
348,东山村委会,30,11,0,33
349,毛陈村委会,30,11,0,33
350,王新村委会,30,11,0,33
351,鲍宅村委会,81,22,5,128
352,后张村委会,82,17,4,167
353,西后畈村委会,114,34,4,217
354,西田村委会,166,30,9,430
355,前屋村委会,63,18,4,163
356,石塔一村委会,98,32,6,214
357,王莲塘村委会,95,17,6,179
358,王阡村村民委员会,95,18,5,163
359,上潘社区居民委员会,98,30,3,172
360,塘西社区居民委员会,28,5,5,32
361,红桥头村委会,89,28,3,183
362,富塘下村委会,43,23,2,89
363,荷市村委会,116,26,4,175
364,新院村委会,86,22,4,211
365,蒋宅村委会,61,22,1,117
366,马丁村委会,99,26,5,287
367,新中村委会,96,26,3,254
368,徐丰村委会,30,11,0,33
369,邢宅村委会,76,21,4,159
370,新乐村委会,200,37,14,327
371,王界村委会,197,37,14,333
372,长府村委会,111,32,6,338
373,上楼村委会,128,32,5,227
374,油碑塘村委会,92,24,4,243
375,齐山楼村委会,87,22,4,216
376,徐樟塘村委会,112,37,2,356
377,塘里蒋村委会,80,17,5,162
378,里外甘村委会,124,38,2,353
379,里宅村委会,14,6,5,10
380,高岭村委会,118,32,2,331
381,木城村委会,29,16,3,79
382,下陈村委会,259,20,4,161
383,张浒村委会,104,29,6,300
384,上西陶村委会,96,33,2,334
385,后山坞村委会,123,37,2,350
386,楼下张村委会,87,21,4,238
387,西山下村委会,106,26,2,296
388,东陶村委会,80,29,2,305
389,六都村村民委员会,93,24,4,239
390,团结村委会,38,16,3,101
391,红旗村委会,40,18,3,103
392,湖山村委会,136,38,4,151
393,大陈一村委会,31,17,3,95
394,春林村委会,37,16,3,103
395,楂林一村委会,34,16,3,96
396,李孟宅村委会,37,16,3,104
397,八里桥头村委会,43,18,7,113
398,土墩塘村委会,73,20,11,81
399,新塘村委会,163,36,14,112
400,牛鼻洞村委会,144,34,14,111
401,潘家垟村委会,416,46,24,232
402,湖上岙村委会,402,46,24,233
403,南岸社区,422,51,24,276
404,凤凰村委会,99,29,8,205
405,巨星村委会,127,42,18,132
406,潭头卢村委会,50,13,2,91
407,前垟村委会,77,25,3,68
408,前横村委会,493,85,53,441
409,东垟村委会,193,53,20,162
410,三村村委会,8,1,1,3
411,埭下村委会,23,6,1,20
412,东风社区,102,46,8,82
413,长虹社区,910,80,33,562
414,象阳居委会,418,90,33,456
415,后街社区,305,49,32,585
416,方斗岩村委会,382,74,29,511
417,后西垟村委会,427,82,33,545
418,前西垟村委会,459,89,32,578
419,吕庄村委会,448,83,29,556
420,翔金垟村委会,468,86,34,573
421,上峰村委会,437,82,31,532
422,长丰村委会,433,86,36,507
423,象山村委会,467,86,33,528
424,上池村委会,470,87,34,533
425,浃西村委会,464,86,34,497
426,浃东村委会,140,55,8,119
427,长春村委会,108,35,9,80
428,社头村委会,414,87,35,459
429,西凰屿村委会,452,89,36,471
430,东凰屿村委会,432,88,36,459
431,东仁宕村委会,461,91,32,486
432,西西村委会,10,2,1,3
433,新光村委会,162,50,16,139
434,刘宅村委会,97,19,2,172
435,张瞿村委会,205,42,18,313
436,上游村委会,307,68,28,456
437,苏岙村委会,337,80,28,485
438,苏吕村委会,48,7,2,23
439,南吕岙村委会,393,84,30,523
440,黄七甲村委会,474,84,31,565
441,上来桥村委会,474,88,32,548
442,三里村委会,6,3,0,3
443,马仁桥村委会,471,89,35,551
444,新民村委会,55,12,1,30
445,东村委会,15,5,0,5
446,西仁宕村委会,445,87,28,465
447,薛宅村委会,412,87,25,409
448,捕捞新村委会,419,81,25,400
449,尚宅村委会,9,1,1,8
450,长道坦村委会,361,76,23,346
451,前垟洞村委会,358,76,22,318
452,店后村委会,100,35,17,121
453,沙东村委会,111,33,13,265
454,前窑村委会,124,34,15,292
455,前州村委会,158,39,18,344
456,荷岙村委会,126,47,17,227
457,上五宅村委会,408,72,29,546
458,西宋村委会,46,7,2,23
459,湖东村委会,51,17,6,44
460,湖西村委会,409,69,27,506
461,智广村委会,450,81,29,572
462,杨宅村委会,65,11,9,59
463,蟾西村委会,383,61,36,290
464,蟾东村委会,66,12,6,54
465,仙垟村委会,52,11,6,21
466,柳南村委会,400,90,33,451
467,深河村委会,392,84,31,460
468,汤岙余村委会,385,86,28,497
469,汤西村委会,363,84,25,450
470,七西村委会,284,36,30,376
471,排岩头村委会,292,64,23,269
472,楼下村委会,8,5,0,3
473,上屋村委会,97,34,12,121
474,马道头村委会,97,34,12,117
475,曹田前村委会,104,33,14,116
476,曹田后村委会,114,37,16,151
477,黄华关村委会,79,32,11,95
478,黄华堡村委会,89,32,11,99
479,黄华村委会,93,30,12,101
480,朝阳东村委会,25,8,6,38
481,上岩村委会,95,34,13,110
482,七里村委会,118,34,14,148
483,白塔王社区,447,89,27,528
484,白鹭屿村委会,183,46,14,244
485,沈岙村委会,211,53,17,280
486,三房村委会,456,85,28,504
487,万茗村委会,369,66,20,433
488,车岙村委会,314,58,18,367
489,水塔头村委会,357,64,19,437
490,前岸村委会,35,8,2,47
491,前程村委会,445,84,25,496
492,大港村委会,456,89,26,518
493,中西漳村委会,434,83,27,516
494,后西漳村委会,430,82,24,515
495,塘下村委会,494,89,52,446
496,马路角村委会,433,79,23,527
497,南才头村委会,439,85,28,536
498,三重炉村委会,435,84,28,484
499,水潭村委会,451,83,29,484
500,王家店村委会,455,84,26,511
501,金炉村委会,444,81,28,549
502,南塘村委会,34,10,8,28
503,寺前村委会,356,87,26,378
504,宝洪村村民委员会,33,4,1,46
505,海龙村村民委员会,66,13,2,96
506,樱桃沟社区居民管理委员会,51,13,1,47
507,黄龙岗社区居民管理委员会,59,15,0,48
508,东溪村委会,289,29,5,152
509,楂林村委会,150,20,7,113
510,河上村委会,74,19,0,87
511,巧云村委会,77,19,0,81
512,七一村村委会,5,1,0,10
513,河南村村民委员会,11,0,2,13
514,东南村委会,14,4,0,17
515,岩滩村委会,15,4,0,4
516,椿树村委会,6,1,2,4
517,上坪村委会,15,6,0,4
518,新明村委会,175,15,6,130
519,大夫田村委会,114,12,1,126
520,新开村委会,132,15,13,545
521,飞鹅村委会,35,1,6,70
522,胪厦村委会,382,54,18,499
523,江边村委会,830,62,41,576
524,叶厦村委会,843,62,41,573
525,北园村委会,853,62,41,589
526,浦口村委会,547,55,32,450
527,高湖村委会,905,108,53,739
528,大路村委会,68,13,1,34
529,坎头村委会,51,5,1,37
530,黄梁陈村委会,61,8,2,63
531,西垟村委会,36,7,2,42
532,湖其园村委会,34,6,2,51
533,下张村委会,141,23,3,115
534,杏村委会,30,6,1,22
535,杨砩头村委会,32,6,1,24
536,麟山村委会,94,16,0,101
537,辉煌村委会,89,10,2,120
538,和平村委会,147,19,5,277
539,斗北村委会,85,10,2,117
540,海安村委会,90,9,2,121
541,坝下社区居委会,95,16,0,100
542,紫泽社区居委会,89,16,0,100
543,泉山社区居委会,134,16,5,114
544,龙腾社区居委会,93,15,0,95
545,紫洋社区居委会,98,17,0,106
546,溪尾社区居委会,66,6,4,42
547,南溪村委会,8,1,1,2
548,后堡村委会,79,14,0,80
549,仙水村委会,78,14,0,81
550,洋坂村委会,17,1,0,9
551,霞溪村委会,23,0,0,18
552,霞苑村委会,329,52,12,381
553,昌山村委会,56,6,5,37
554,垅溪村委会,59,3,2,93
555,山岑村委会,28,0,2,50
556,蒲山村委会,17,1,0,9
557,乌石村委会,22,0,0,18
558,钟峰村委会,22,0,0,20
559,红旗村委会,24,2,2,20
560,林内村委会,17,1,0,8
561,金建村委会,11,1,2,9
562,金沙村委会,104,14,4,193
563,古井街道居委会,17,4,6,23
564,古井村委会,13,6,0,17
565,金元村村委会,22,4,0,41
566,袁庄村委会,8,2,0,14
567,胡家村村委会,36,11,0,47
568,寇村村委会,282,41,11,241
569,北张村村委会,9,1,0,0
570,蔡村大街村委会,60,14,4,68
571,田口村委会,24,5,0,30
572,南芦张村委会,28,4,0,24
573,北马庄村委会,12,1,0,13
574,西于村村委会,10,1,0,23
575,西八方村委会,24,5,0,30
576,穆家口村委会,34,3,0,29
577,边家庄村委会,18,1,0,10
578,东黄庄村委会,32,3,0,26
579,南张村村委会,42,3,0,14
580,郑家庄村委会,22,1,1,20
581,王村村委会,13,0,0,9
582,环水村村委会,28,1,0,19
583,马家庄村委会,7,0,0,0
584,东甄庄村委会,19,1,0,14
585,西甄庄村委会,3,0,0,1
586,烟涧村村民委员会,22,4,1,26
587,黄箭山村委会,139,22,1,147
588,姜家渡村委会,210,33,7,194
589,竹山村委会,396,50,27,233
590,明伟村委会,321,45,17,239
591,苏家园村委会,73,16,4,120
592,五星村委会,11,7,0,4
593,永丰村委会,172,29,8,175
594,谭家岭村村委会,433,54,23,286
595,丰杨河村委会,347,44,25,211
596,康山村委会,311,48,25,275
597,丰南村委会,468,57,28,252
598,北郊村委会,385,52,32,266
599,方桥村委会,14,7,7,20
600,历山村委会,257,52,21,243
601,黄湖村委会,279,55,23,191
602,芦城村委会,172,44,11,229
603,低塘村委会,146,41,11,209
604,汤家闸村委会,95,27,7,124
605,镆剑山村委会,51,19,3,70
606,郑巷村委会,55,19,3,69
607,西郑巷村委会,55,22,4,89
608,新南王村委会,62,23,5,70
609,赵家村委会,136,23,31,173
